label,nota,fattibile,duplicato_di,modulo,costo_q50,costo_prezzi_usati,legale_q50,spesa_P,spesa_D,spesa_C,spesa_A,quota_attacco_q50,costo_mercato,somma_value,n_indisponibili,n_note_negative,punti_medi,sd_stagione,se_media,diff_vs_R01,se_diff_appaiato,serio,p_win,se_p_win,bomber,titolari,rosa_P,rosa_D,rosa_C,rosa_A
R01,"riferimento: lam 0.5, attacco 35-50%",1,,3-4-3,499.6,499.6,1,38.7,88.0,151.7,221.2,0.443,597.2,5524.5,1,4,3199.3,71.1,11.2,0.0,0.0,1,0.525,0.079,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Obert, Bracaglia, Zè Pedro, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Malen, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R02,bomber imposto Ramos G.,1,,3-4-3,499.3,499.3,1,38.7,106.6,165.3,188.7,0.378,595.0,5568.6,1,4,3181.6,81.8,12.9,-17.7,10.1,0,0.45,0.079,Ramos G.,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Ramos G.(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Vasquez, Valeri, Obert, Bracaglia, De Winter","Zaccagni, Vlasic, Modric, Ekkelenkamp, Frattesi, Cristante, Fazzini, Calò","Ramos G., Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R03,bomber imposto Martinez L.,1,,3-4-3,499.6,499.6,1,38.7,90.4,151.7,218.8,0.438,586.8,5504.2,1,4,3163.5,74.9,11.8,-35.8,6.5,0,0.375,0.077,Martinez L.,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Martinez L.(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Valeri, Obert, Zè Pedro, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Martinez L., Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R04,bomber imposto Raimondo,1,R01,3-4-3,499.6,499.6,1,38.7,88.0,151.7,221.2,0.443,597.2,5524.5,1,4,3199.3,71.1,11.2,0.0,0.0,1,0.525,0.079,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Obert, Bracaglia, Zè Pedro, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Malen, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R05,bomber imposto De Ketelaere,1,,3-4-3,499.6,499.6,1,28.3,75.7,151.7,243.8,0.488,594.8,5502.7,1,4,3183.5,83.1,13.1,-15.8,10.1,0,0.45,0.079,Malen,Mandas(P) | Kalulu(D) | Solet(D) | Valeri(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | De Ketelaere(A) | Raimondo(A),"Mandas, Falcone, Palmisani","Kalulu, Solet, Valeri, Obert, Bracaglia, Zè Pedro, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Malen, De Ketelaere, Raimondo, Colombo, Tourè E., Kvernadze"
R06,bomber imposto Colombo,1,R01,3-4-3,499.6,499.6,1,38.7,88.0,151.7,221.2,0.443,597.2,5524.5,1,4,3199.3,71.1,11.2,0.0,0.0,1,0.525,0.079,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Obert, Bracaglia, Zè Pedro, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Malen, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R07,bomber imposto Laurientè,1,,3-4-3,499.7,499.7,1,38.7,68.7,155.5,236.8,0.474,592.1,5534.2,1,4,3179.0,80.9,12.8,-20.3,9.5,0,0.475,0.079,Malen,Mandas(P) | Kalulu(D) | Solet(D) | Valeri(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Laurientè(A) | Raimondo(A),"Caprile, Mandas, Falcone","Kalulu, Solet, Valeri, Obert, Zè Pedro, Calvani, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Cristante, Fazzini, Calò, Pierotti","Malen, Laurientè, Raimondo, Colombo, Tourè E., Kvernadze"
R08,attacco 20-35%,1,,3-4-3,498.2,498.2,1,38.7,106.6,223.7,129.2,0.259,584.8,5627.5,1,4,3176.5,84.2,13.3,-22.7,9.6,0,0.425,0.078,Raimondo,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Calhanoglu(C) | Zaccagni(C) | Vlasic(C) | Frattesi(C) | De Ketelaere(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Vasquez, Valeri, Obert, Bracaglia, De Winter","Calhanoglu, Zaccagni, Ederson D.S., Vlasic, Ekkelenkamp, Frattesi, Cristante, Calò","De Ketelaere, Laurientè, Raimondo, Colombo, Tourè E., Kvernadze"
R09,attacco 50-65%,1,,3-4-3,499.7,499.7,1,28.3,69.5,151.7,250.2,0.501,596.8,5478.1,1,4,3190.6,89.0,14.1,-8.7,12.7,1,0.475,0.079,Malen,Mandas(P) | Kalulu(D) | Solet(D) | Valeri(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Mandas, Falcone, Palmisani","Kalulu, Solet, Valeri, Obert, Zè Pedro, Veiga D., De Winter, Troilo","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Malen, De Ketelaere, Adams C., Raimondo, Colombo, Kvernadze"
R10,lam 0 (nessun peso all'upside),1,,3-4-3,499.5,499.5,1,38.7,89.2,155.5,216.2,0.433,595.5,5527.7,1,4,3193.7,69.1,10.9,-5.6,7.6,1,0.45,0.079,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Valeri, Obert, Zè Pedro, Calvani, De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Cristante, Fazzini, Calò, Pierotti","Malen, Raimondo, Colombo, Tourè E., Osmajic, Kvernadze"
R11,lam 1 (tutto peso all'upside),1,R01,3-4-3,499.6,499.6,1,38.7,88.0,151.7,221.2,0.443,597.2,5524.5,1,4,3199.3,71.1,11.2,0.0,0.0,1,0.525,0.079,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Obert, Bracaglia, Zè Pedro, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Malen, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
